,NAME
1,망고 바나나 아이스 블렌디드
2,유자 캐모마일 아이스 블렌디드
3,후레쉬 망고 아이스 블렌디드
4,베리베리 아이스 블렌디드
5,그린티 아이스 블렌디드
6,퓨어 바닐라 아이스 블렌디드
7,퓨어 더블 초코렛 아이스 블렌디드
8,캐러멜 아이스 블렌디드
9,헤이즐넛 아이스 블렌디드
10,모카 아이스 블렌디드
11,바닐라 아이스 블렌디드
12,화이트 포레스트 아이스 블렌디드
13,블랙 포레스트 아이스 블렌디드
14,아이스 캐러멜 마키아토
15,아이스 바닐라라떼
16,아이스 모카라떼
17,아이스 카페라떼
18,아이스 커피
19,헤이즐넛 아이스커피
20,카페수아
21,아이스 더블카페 라떼
22,아이스 에스프레소
23,콜드브루 라떼
24,콜드브루
25,더블카페 라떼
26,헤이즐넛 아메리카노
27,캐러멜 마키아토
28,바닐라 라떼
29,모카 라떼
30,카페 라떼
31,카푸치노
32,아메리카노
33,커피빈커피
34,헤이즐넛 라떼
35,플랫화이트
36,커피빈 드립커피
37,콜드 브루
38,콜드 브루 라떼
39,아이스 캐러멜 마키아토
40,아이스 바닐라라떼
41,아이스 모카라떼
42,아이스 카페라떼
43,아이스 커피
44,헤이즐넛 아이스커피
45,카페수아
46,아이스 더블카페 라떼
47,아이스 에스프레소
48,차이라떼
49,잉글리쉬 브렉퍼스트 라떼
50,모로칸 민트 라떼
51,그린 티 라떼
52,레몬 유자 캐모마일 티
53,겐마이차 그린
54,작설
55,프래그런트 나이트 쟈스민
56,모로칸 민트
57,잉글리쉬 브렉퍼스트
58,살구실론
59,파미그래네이트 블루베리
60,얼 그레이
61,진셍 페퍼민트
62,레몬 캐모마일
63,아프리칸 선라이즈
64,스웨디쉬 베리즈
65,스파클링 스웨디쉬 레몬
66,스파클링 망고
67,아이스 더블 초코렛
68,핫 더블 초코렛
69,핫 바닐라
70,샤인머스캣주스
71,구아바주스
72,유자파인애플주스
73,감귤당근주스
74,수박 주스
75,토마토 주스
76,레드밸런스
77,프룻밸런스
78,그린밸런스
79,슈퍼밸런스
80,스트로베리 주스
