date,value
2019-12-06,28
2019-12-07,29
2019-12-08,27
2019-12-09,30
2019-12-10,30
2019-12-11,29
2019-12-12,32
2019-12-13,29
2019-12-14,30
2019-12-15,28
2019-12-16,30
2019-12-17,29
2019-12-18,31
2019-12-19,32
2019-12-20,32
2019-12-21,30
2019-12-22,30
2019-12-23,34
2019-12-24,39
2019-12-25,35
2019-12-26,32
2019-12-27,33
2019-12-28,31
2019-12-29,29
2019-12-30,36
2019-12-31,50
2020-01-01,34
2020-01-02,29
2020-01-03,26
2020-01-04,26
2020-01-05,24
2020-01-06,24
2020-01-07,25
2020-01-08,29
2020-01-09,31
2020-01-10,25
2020-01-11,27
2020-01-12,22
2020-01-13,23
2020-01-14,24
2020-01-15,25
2020-01-16,28
2020-01-17,29
2020-01-18,25
2020-01-19,24
2020-01-20,27
2020-01-21,49
2020-01-22,31
2020-01-23,30
2020-01-24,30
2020-01-25,40
2020-01-26,30
2020-01-27,26
2020-01-28,28
2020-01-29,23
2020-01-30,23
2020-01-31,21
2020-02-01,23
2020-02-02,21
2020-02-03,24
2020-02-04,23
2020-02-05,23
2020-02-06,25
2020-02-07,29
2020-02-08,25
2020-02-09,22
2020-02-10,23
2020-02-11,23
2020-02-12,23
2020-02-13,24
2020-02-14,26
2020-02-15,24
2020-02-16,22
2020-02-17,21
2020-02-18,23
2020-02-19,21
2020-02-20,21
2020-02-21,19
2020-02-22,20
2020-02-23,18
2020-02-24,20
2020-02-25,23
2020-02-26,25
2020-02-27,26
2020-02-28,25
2020-02-29,23
2020-03-01,23
2020-03-02,21
2020-03-03,26
2020-03-04,22
2020-03-05,24
2020-03-06,23
2020-03-07,22
2020-03-08,23
2020-03-09,25
2020-03-10,22
2020-03-11,23
2020-03-12,23
2020-03-13,25
2020-03-14,24
2020-03-15,21
2020-03-16,24
2020-03-17,30
2020-03-18,27
2020-03-19,25
2020-03-20,28
2020-03-21,29
2020-03-22,24
2020-03-23,28
2020-03-24,31
2020-03-25,26
2020-03-26,24
2020-03-27,25
2020-03-28,24
2020-03-29,23
2020-03-30,23
2020-03-31,27
2020-04-01,26
2020-04-02,23
2020-04-03,23
2020-04-04,23
2020-04-05,22
2020-04-06,21
2020-04-07,23
2020-04-08,22
2020-04-09,23
2020-04-10,35
2020-04-11,24
2020-04-12,23
2020-04-13,26
2020-04-14,34
2020-04-15,28
2020-04-16,23
2020-04-17,26
2020-04-18,44
2020-04-19,38
2020-04-20,25
2020-04-21,26
2020-04-22,29
2020-04-23,24
2020-04-24,25
2020-04-25,24
2020-04-26,26
2020-04-27,23
2020-04-28,25
2020-04-29,26
2020-04-30,28
2020-05-01,29
2020-05-02,25
2020-05-03,23
2020-05-04,26
2020-05-05,24
2020-05-06,23
2020-05-07,25
2020-05-08,24
2020-05-09,25
2020-05-10,23
2020-05-11,26
2020-05-12,26
2020-05-13,29
2020-05-14,29
2020-05-15,45
2020-05-16,33
2020-05-17,28
2020-05-18,30
2020-05-19,30
2020-05-20,33
2020-05-21,52
2020-05-22,50
2020-05-23,94
2020-05-24,85
2020-05-25,80
2020-05-26,65
2020-05-27,46
2020-05-28,40
2020-05-29,42
2020-05-30,45
2020-05-31,43
2020-06-01,39
2020-06-02,38
2020-06-03,45
2020-06-04,43
2020-06-05,45
2020-06-06,45
2020-06-07,39
2020-06-08,39
2020-06-09,42
2020-06-10,45
2020-06-11,49
2020-06-12,44
2020-06-13,45
2020-06-14,39
2020-06-15,38
2020-06-16,37
2020-06-17,40
2020-06-18,39
2020-06-19,42
2020-06-20,48
2020-06-21,43
2020-06-22,38
2020-06-23,33
2020-06-24,41
2020-06-25,43
2020-06-26,42
2020-06-27,55
2020-06-28,45
2020-06-29,43
2020-06-30,39
2020-07-01,48
2020-07-02,43
2020-07-03,42
2020-07-04,45
2020-07-05,39
2020-07-06,39
2020-07-07,40
2020-07-08,41
2020-07-09,36
2020-07-10,35
2020-07-11,41
2020-07-12,38
2020-07-13,35
2020-07-14,42
2020-07-15,45
2020-07-16,52
2020-07-17,55
2020-07-18,43
2020-07-19,36
2020-07-20,38
2020-07-21,100
2020-07-22,50
2020-07-23,32
2020-07-24,30
2020-07-25,38
2020-07-26,38
2020-07-27,31
2020-07-28,46
2020-07-29,39
2020-07-30,30
2020-07-31,32
2020-08-01,30
2020-08-02,27
2020-08-03,29
2020-08-04,33
2020-08-05,32
2020-08-06,31
2020-08-07,29
2020-08-08,29
2020-08-09,27
2020-08-10,31
2020-08-11,29
2020-08-12,34
2020-08-13,31
2020-08-14,30
2020-08-15,33
2020-08-16,45
2020-08-17,38
2020-08-18,33
2020-08-19,31
2020-08-20,28
2020-08-21,24
2020-08-22,24
2020-08-23,23
2020-08-24,22
2020-08-25,24
2020-08-26,24
2020-08-27,20
2020-08-28,25
2020-08-29,35
2020-08-30,32
2020-08-31,25
2020-09-01,21
2020-09-02,21
2020-09-03,20
2020-09-04,22
2020-09-05,21
2020-09-06,23
2020-09-07,23
2020-09-08,31
2020-09-09,25
2020-09-10,23
2020-09-11,23
2020-09-12,21
2020-09-13,23
2020-09-14,22
2020-09-15,23
2020-09-16,21
2020-09-17,22
2020-09-18,22
2020-09-19,22
2020-09-20,20
2020-09-21,21
2020-09-22,22
2020-09-23,23
2020-09-24,24
2020-09-25,23
2020-09-26,24
2020-09-27,24
2020-09-28,24
2020-09-29,29
2020-09-30,30
2020-10-01,40
2020-10-02,27
2020-10-03,25
2020-10-04,22
2020-10-05,29
2020-10-06,26
2020-10-07,23
2020-10-08,22
2020-10-09,25
2020-10-10,24
2020-10-11,22
2020-10-12,24
2020-10-13,27
2020-10-14,25
2020-10-15,24
2020-10-16,22
2020-10-17,26
2020-10-18,23
2020-10-19,23
2020-10-20,26
2020-10-21,24
2020-10-22,23
2020-10-23,24
2020-10-24,26
2020-10-25,24
2020-10-26,30
2020-10-27,30
2020-10-28,28
2020-10-29,31
2020-10-30,45
2020-10-31,39
2020-11-01,35
2020-11-02,32
2020-11-03,32
2020-11-04,32
2020-11-05,32
2020-11-06,30
2020-11-07,30
2020-11-08,27
2020-11-09,25
2020-11-10,27
2020-11-11,29
2020-11-12,26
2020-11-13,27
2020-11-14,28
2020-11-15,26
2020-11-16,24
2020-11-17,26
2020-11-18,27
2020-11-19,26
2020-11-20,28
