,like,date,hashtag
0,"1,377",2020-12-20,카페
1,"1,377",2020-12-20,카페스타그램
2,"1,377",2020-12-20,커피스타그램
3,"1,377",2020-12-20,카페투어
4,"1,377",2020-12-20,카투
5,"1,377",2020-12-20,서울카페
6,"1,377",2020-12-20,서울카페추천
7,"1,377",2020-12-20,카페추천
8,"1,377",2020-12-20,서촌카페
9,"1,377",2020-12-20,온더테이블
10,"1,377",2020-12-20,디퍼카페테리아
11,"1,377",2020-12-20,그라니따
12,"1,377",2020-12-20,데일리
13,"1,377",2020-12-20,일상
14,"1,377",2020-12-20,소통
15,"1,377",2020-12-20,dippercaffetteria
16,"1,377",2020-12-20,cafe
17,"1,377",2020-12-20,seoul
18,"1,377",2020-12-20,korea
19,609,2020-12-19,라토커피
20,609,2020-12-19,청주카페
21,609,2020-12-19,대전카페
22,609,2020-12-19,전주카페
23,609,2020-12-19,카페
24,609,2020-12-19,카페투어
25,609,2020-12-19,좋아요반사
26,609,2020-12-19,일상
27,609,2020-12-19,대전
28,609,2020-12-19,청주
29,609,2020-12-19,전주
30,211,2020-12-20,셀스타그램
31,211,2020-12-20,셀기꾼
32,211,2020-12-20,셀피
33,211,2020-12-20,셀카
34,211,2020-12-20,팔로우
35,211,2020-12-20,좋반
36,211,2020-12-20,좋아요반사
37,211,2020-12-20,맞팔
38,211,2020-12-20,데일리
39,211,2020-12-20,오오티디
40,211,2020-12-20,양면성
41,211,2020-12-20,카페투어
42,211,2020-12-20,진주카페
43,211,2020-12-20,사천카페
44,211,2020-12-20,fff
45,211,2020-12-20,followforfollowback
46,211,2020-12-20,instagood
47,211,2020-12-20,ootd
48,211,2020-12-20,daily
49,211,2020-12-20,likesforlike
50,211,2020-12-20,instalike
51,811,2020-12-20,신사
52,811,2020-12-20,67soho카페
53,811,2020-12-20,소현
54,811,2020-12-20,신상카페
55,811,2020-12-20,가오픈카페
56,811,2020-12-20,카페
57,811,2020-12-20,카페투어
58,811,2020-12-20,카페스타그램
59,811,2020-12-20,cafe
60,811,2020-12-20,먹스타그램
61,811,2020-12-20,맛스타그램
62,811,2020-12-20,디저트
63,811,2020-12-20,온더테이블
64,357,2020-12-20,daily
65,357,2020-12-20,dailylook
66,357,2020-12-20,ootd
67,357,2020-12-20,christmas
68,357,2020-12-20,f4f
69,357,2020-12-20,l4l
70,357,2020-12-20,cafe
71,357,2020-12-20,cafestagram
72,357,2020-12-20,cafetour
73,357,2020-12-20,simmonsterrace
74,357,2020-12-20,데일리룩
75,357,2020-12-20,데일리
76,357,2020-12-20,카페
77,357,2020-12-20,카페스타그램
78,357,2020-12-20,카페투어
79,357,2020-12-20,카투
80,357,2020-12-20,시몬스테라스
81,357,2020-12-20,일상
82,357,2020-12-20,이코복스커피
83,323,2020-12-21,신상카페
84,323,2020-12-21,가오픈카페
85,323,2020-12-21,데일리
86,323,2020-12-21,먹스타그램
87,323,2020-12-21,카페
88,323,2020-12-21,카페스타그램
89,323,2020-12-21,카페투어
90,323,2020-12-21,브런치카페
91,323,2020-12-21,cafetour
92,323,2020-12-21,온더테이블
93,323,2020-12-21,예쁜카페
94,323,2020-12-21,카페추천
95,323,2020-12-21,햇살맛집
96,323,2020-12-21,daily
97,323,2020-12-21,데일리
98,323,2020-12-21,천안맛집
99,323,2020-12-21,아산맛집
100,323,2020-12-21,음봉맛집
101,323,2020-12-21,천안드라이브
102,323,2020-12-21,아산드라이브
103,350,2020-12-20,현해탄
104,350,2020-12-20,전주카페
105,350,2020-12-20,대전카페
106,350,2020-12-20,청주카페
107,350,2020-12-20,카페
108,350,2020-12-20,카페투어
109,350,2020-12-20,좋아요반사
110,350,2020-12-20,일상
111,350,2020-12-20,대전
112,350,2020-12-20,청주
113,350,2020-12-20,전주
114,152,2020-12-20,광주
115,152,2020-12-20,광주카페
116,152,2020-12-20,동명동
117,152,2020-12-20,동명동카페
118,152,2020-12-20,동명동핫플
119,152,2020-12-20,동명동맛집
120,152,2020-12-20,동명동핫플카페
121,152,2020-12-20,동명동분위기
122,152,2020-12-20,분위기맛집
123,152,2020-12-20,분위기깡패
124,152,2020-12-20,카페투어
125,152,2020-12-20,카페디저트
126,152,2020-12-20,디저트맛집
127,152,2020-12-20,커피맛집추천
128,152,2020-12-20,블루컨셉
129,152,2020-12-20,블루
130,152,2020-12-20,핫플카페
131,152,2020-12-20,데일리
132,152,2020-12-20,일상
133,152,2020-12-20,일상소통
134,3,2020-12-21,광주
135,3,2020-12-21,광주카페
136,3,2020-12-21,브런치
137,3,2020-12-21,브런치카페
138,3,2020-12-21,동명동
139,3,2020-12-21,동명동카페
140,3,2020-12-21,신상카페
141,3,2020-12-21,사보타지
142,3,2020-12-21,맛집
143,3,2020-12-21,카페추천
144,3,2020-12-21,카페투어
145,3,2020-12-21,브런치맛집
