,rank,brand,name,price
0,1,스타벅스,"""부드러운 디저트"" 부드러운 생크림 카스텔라 + 아메리카노 Tall 2잔","12,700"
1,2,투썸플레이스,"""윈터 판타지"" 20Xmas 스트로베리 초콜릿 생크림","34,000"
2,3,스타벅스,"""해피 크리스마스"" 리얼 스트로베리 티라미수+아메리카노 T 2잔","15,700"
3,4,스타벅스,"""오늘도 달콤하게"" 7 레이어 가나슈 케이크 + 아메리카노 Tall","9,800"
4,5,스타벅스,"""APP 전용"" e카드 3만원 교환권","30,000"
5,6,스타벅스,"""생일 축하합니다"" 블루베리 쿠키 치즈 케이크 + 아메리카노 Tall 2잔","15,100"
6,7,스타벅스,"""힘이 나는 세트"" 촉촉 초콜릿 생크림 케이크 + 진한 얼 그레이 생크림 케이크 + 아메리카노 Tall 2잔","20,300"
7,8,스타벅스,카페아메리카노 Tall,"4,100"
8,9,스타벅스,"""기분좋은 하루"" 클라우드 치즈 케이크 + 아메리카노 Tall 2잔","13,700"
9,10,스타벅스,"""달콤한 겨울"" 다크 초콜릿 T + 화이트 밀크 케이크","12,800"
10,11,스타벅스,"""APP 전용"" e카드 5만원 교환권","50,000"
11,12,스타벅스,아이스 카페아메리카노 Tall,"4,100"
12,13,스타벅스,"""축하합니다"" 7레이어 가나슈 케이크 + 클라우드 치즈 케이크 + 아메리카노 Tall 2잔","19,400"
13,14,투썸플레이스,스윗 투게더 (6pcs),"36,200"
14,15,투썸플레이스,"""윈터 판타지"" 20Xmas 마스카포네 생크림(믹스드베리)","32,000"
15,16,투썸플레이스,"""윈터 판타지"" 20Xmas 딸기 생크림 1호","29,000"
16,17,투썸플레이스,"""해피 B day"" 떠먹는 티라미수 + 아메리카노 Regular 2잔","14,100"
17,18,투썸플레이스,"""달콤한 하루 세트"" 떠먹는 스트로베리 초콜릿 생크림 + 아메리카노 Regular","10,400"
18,19,스타벅스,"""고마워요"" 부드러운 생크림 카스텔라 + 슈크림 가득 바움쿠헨 + 아메리카노 Tall 2잔","19,600"
19,20,스타벅스,"""크리스마스"" 다크 초콜릿 T","6,100"
20,21,스타벅스,"""따뜻하게 함께"" 아메리카노 Tall 2잔","8,200"
21,22,투썸플레이스,떠먹는 아이스박스,"5,900"
22,23,스타벅스,"""생일축하해"" 호두 당근 케이크 + 블루베리 쿠키 치즈 케이크 + 아메리카노 Tall 2잔","21,600"
23,24,스타벅스,"""촉촉한 디저트 세트"" 마스카포네 티라미수 + 아메리카노 Tall 2잔","14,100"
24,25,스타벅스,카페라떼 Tall,"4,600"
25,26,투썸플레이스,떠먹는 스트로베리 초콜릿 생크림,"6,300"
26,27,투썸플레이스,"""활짝 웃어요"" 딸기 생크림 피스 + 떠먹는 스트로베리 초콜릿 생크림 + 아메리카노 (R) 2잔","19,900"
27,28,스타벅스,"""크리스마스 파티"" 다크 초콜릿 T 2잔 + 화이트 밀크 케이크 +  블랙 초콜릿 케이크","25,800"
28,29,투썸플레이스,"""윈터 판타지"" 20Xmas 트리플 베리 치즈 무스","35,000"
29,30,스타벅스,"""달콤한 겨울"" 캐모마일 릴렉서 T + 블랙 초콜릿 케이크","13,000"
30,31,투썸플레이스,"""축하해요"" 딸기 생크림 피스 + 아메리카노 (R) 2잔","13,600"
31,32,스타벅스,"""시원하게 함께"" 아이스 아메리카노 Tall 2잔","8,200"
32,33,투썸플레이스,"""여유로운 하루"" 떠먹는 티라미수 + 아메리카노 Regular","10,000"
33,34,투썸플레이스,"""윈터 판타지"" 20Xmas 마스카포네 티라미수","35,000"
