,NAME
1,나이트로 바닐라 크림
2,나이트로 쇼콜라 클라우드
3,나이트로 콜드 브루
4,돌체 콜드 브루
5,바닐라 크림 콜드 브루
6,제주 비자림 콜드 브루
7,콜드 브루
8,콜드 브루 몰트
9,콜드 브루 플로트
10,크리스마스 콜드 브루 콘 파나
11,아이스 커피
12,오늘의 커피
13,블론드 토피 넛 라떼
14,아이스 블론드 토피 넛 라떼
15,아이스 토피 넛 라떼
16,토피 넛 라떼
17,에스프레소 콘 파나
18,에스프레소 마키아또
19,아이스 카페 아메리카노
20,카페 아메리카노
21,아이스 카라멜 마키아또
22,카라멜 마키아또
23,아이스 카푸치노
24,카푸치노
25,라벤더 카페 브레베
26,럼 샷 코르타도
27,리저브 바닐라 빈 라떼
28,리저브 아이스 바닐라 빈 라떼
29,스타벅스 돌체 라떼
30,시나몬 롤 돌체 라떼
31,아이스 라벤더 카페 브레베
32,아이스 스타벅스 돌체 라떼
33,아이스 시나몬 롤 돌체 라떼
34,아이스 제주 샤이닝 바나나 라떼
35,아이스 카페 라떼
36,제주 샤이닝 바나나 라떼
37,카페 라떼
38,아이스 카페 모카
39,아이스 화이트 초콜릿 모카
40,카페 모카
41,화이트 초콜릿 모카
42,바닐라 플랫 화이트
43,바닐라 스타벅스 더블 샷
44,블론드 바닐라 더블 샷 마키아또
45,아이스 블론드 바닐라 더블 샷 마키아또
46,에스프레소
47,커피 스타벅스 더블 샷
48,클래식 아포가토
49,헤이즐넛 스타벅스 더블 샷
50,토피 넛 팝콘 트리 프라푸치노
51,다크 초콜릿 블렌디드
52,더블 에스프레소 칩 프라푸치노
53,모카 프라푸치노
54,에스프레소 프라푸치노
55,자바 칩 프라푸치노
56,카라멜 프라푸치노
57,화이트 초콜릿 모카 프라푸치노
58,바닐라 크림 프라푸치노
59,제주 까망 크림 프라푸치노
60,제주 샤이닝 바나나 크림 프라푸치노
61,제주 쑥떡 크림 프라푸치노
62,제주 유기농 말차로 만든 크림 프라푸치노
63,초콜릿 크림 칩 프라푸치노
64,화이트 딸기 크림 프라푸치노
65,화이트 타이거 프라푸치노
66,망고 패션 후르츠 블렌디드
67,딸기 요거트 블렌디드
68,망고 바나나 블렌디드
69,자몽 셔벗 블렌디드
70,피치 & 레몬 블렌디드
71,블랙 티 레모네이드 피지오
72,쿨 라임 피지오
73,패션 탱고 티 레모네이드 피지오
74,핑크 자몽 피지오
75,라임 패션 티
76,민트 블렌드 티
77,아이스 라임 패션 티
78,아이스 민트 블렌드 티
79,아이스 얼 그레이 티
80,아이스 유스베리 티
81,아이스 유자 민트 티
82,아이스 잉글리쉬 브렉퍼스트 티
83,아이스 제주 유기 녹차
84,아이스 캐모마일 블렌드 티
85,아이스 히비스커스 블렌드 티
86,얼 그레이 티
87,유스베리 티
88,유자 민트 티
89,이그조틱 레몬 티
90,잉글리쉬 브렉퍼스트 티
91,자몽 허니 블랙 티
92,제주 유기 녹차
93,캐모마일 블렌드 티
94,패션 푸르트 티
95,피치 젤리 티
96,히비스커스 블렌드 티
97,아이스 이그조틱 레몬 티
98,아이스 자몽 허니 블랙 티
99,패션 푸르트 칵테일 티
100,피치 젤리 아이스 티
101,돌체 블랙 밀크 티
102,아이스 돌체 블랙 밀크 티
103,아이스 제주 유기농 말차로 만든 라떼
104,아이스 제주 핑크 뮬리 밀크 티
105,아이스 차이 티 라떼
106,아이스 허니 얼 그레이 밀크 티
107,제주 유기농 말차로 만든 라떼
108,제주 핑크 뮬리 밀크 티
109,차이 티 라떼
110,허니 얼 그레이 밀크 티
111,다크 초콜릿
112,아이스 다크 초콜릿
113,아이스 캐모마일 릴렉서
114,캐모마일 릴렉서
115,시그니처 핫 초콜릿
116,아이스 시그니처 초콜릿
117,플러피 판다 핫 초콜릿
118,라임 플로터 위드 리저브 CB 샷
119,스팀 우유
120,아이스 제주 까망 라떼
121,아이스 제주 별빛 애플 주스
122,오렌지 플로터 위드 리저브 CB 샷
123,우유
124,제주 까망 라떼
125,제주 별빛 애플 주스
126,제주 쑥쑥 라떼
127,기운내라임 190ML
128,파이팅 청귤 190ML
129,한방에 쭉 감당 190ML
130,도와줘 흑흑 190ML
131,딸기주스 190ML
132,망고주스 190ML
133,수박주스 190ML
134,케일&사과주스 190ML
135,토마토주스 190ML
136,퍼플베리 굿 190ML
137,한라봉주스 190ML
138,햇사과 주스 190ML
139,블루베리 요거트 190ML
140,치아씨드 요거트 190ML
141,시나몬 롤 돌체 라떼
142,아이스 시나몬 롤 돌체 라떼
143,크리스마스 콜드 브루 콘 파나
