,NAME
1,체리 프라페
2,아이스 홍차 크림 카페라떼
3,홍차 크림 카페라떼
4,윈터 뱅 블랑
5,시그니처 뱅쇼
6,몽블랑 밤 프라페
7,몽블랑 밤 라떼
8,현미 팥 프라페
9,현미 팥 라떼
10,아이스 레몬그라스 진저 티
11,레몬그라스 진저 티
12,달고나 카페 라떼
13,아이스크림 카페라떼
14,아이스 달고나 카페라떼
15,아이스 쑥 라떼
16,아이스 흑임자 카페라떼
17,쑥 라떼
18,흑임자 카페라떼
19,허니레몬티
20,아이스 애플민트티
21,애플민트티
22,아이스 그나와 민트티
23,그나와 민트티
24,카모마일
25,크림 카라멜
26,프렌치 얼그레이
27,1837 블랙티
28,카모마일
29,크림 카라멜
30,프렌치 얼그레이
31,1837 블랙티
32,상그리아 에이드
33,레몬 셔벗 에이드
34,허니레몬 아이스티
35,오렌지자몽티
36,고구마 라떼
37,유자 레몬티
38,망고 바나나 라떼
39,스페니쉬 연유 카페라떼
40,로얄 밀크티
41,아이스 스페니쉬 연유 카페라떼
42,블루베리 요거트 드링크
43,롱블랙
44,플레인 요거트 드링크
45,아이스 롱블랙
46,제주 말차 프라페
47,아이스 숏 카페라떼
48,로얄 밀크티 쉐이크
49,자몽 에이드
50,카라멜 마키아또
51,스트로베리 피치 프라페
52,오렌지 에이드
53,카페 아메리카노
54,카푸치노
55,에스프레소 마키아또 더블
56,아이스 초콜릿 라떼
57,아이스 바닐라 카페라떼
58,에스프레소 마키아또 싱글
59,카페 모카
60,아이스 커피
61,아이스 카페라떼
62,에스프레소 콘 파나 더블
63,콜드브루
64,커피 밀크 쉐이크
65,아이스 그린티 라떼
66,아이스 카페 아메리카노
67,카페라떼
68,콜드브루 라떼
69,초코 밀크 쉐이크
70,아이스 카페 모카
71,바닐라 밀크 쉐이크
72,에스프레소 콘 파나 싱글
73,바닐라 카페라떼
74,숏 카페라떼
75,요거트 프라페
76,아이스 카라멜 마키아또
77,초콜릿 라떼
78,에스프레소 싱글
79,버블 밀크티
80,모카칩 커피 프라페
81,그린티 라떼
82,오렌지 자몽 주스
83,카라멜 커피 프라페
84,에스프레소 더블
85,키위 바나나 주스
86,버블 그린티 라떼
87,망고 프라페
88,오늘의 커피
