상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
25435527,이디야커피,신길역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11560,영등포구,1156063000,신길1동,1156013200,신길동,1.15601e+18,1,대지,59,2.0,서울특별시 영등포구 신길동 59-2,115603000000.0,서울특별시 영등포구 영등포로,353,,1.15601e+24,엔씨티오피스텔,서울특별시 영등포구 영등포로 353,150050,7318.0,,1.0,,126.9180619,37.51511754
20592419,이디야커피,이마트구로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11530,구로구,1153054000,구로3동,1153010200,구로동,1.15301e+18,1,대지,188,26.0,서울특별시 구로구 구로동 188-26,115304000000.0,서울특별시 구로구 디지털로32길,43,,1.15301e+24,이마트구로점,서울특별시 구로구 디지털로32길 43,152050,8379.0,,3.0,,126.89786979999998,37.48438541
23258426,이디야커피,중계롯데우성점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11350,노원구,1135062100,중계1동,1135010600,중계동,1.13501e+18,1,대지,361,1.0,서울특별시 노원구 중계동 361-1,113504000000.0,서울특별시 노원구 노원로22길,34,,1.13501e+24,우성아파트,서울특별시 노원구 노원로22길 34,139918,1746.0,,2.0,,127.0727538,37.64636407
20022357,이디야커피,금호역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11200,성동구,1120061500,금호2.3가동,1120011100,금호동3가,1.12001e+18,1,대지,1387,9.0,서울특별시 성동구 금호동3가 1387-9,112004000000.0,서울특별시 성동구 장터길,17,1.0,1.12001e+24,,서울특별시 성동구 장터길 17-1,133807,4724.0,,1.0,2.0,127.0177912,37.54842677
20388455,이디야커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168061000,대치2동,1168010600,대치동,1.16801e+18,1,대지,995,21.0,서울특별시 강남구 대치동 995-21,116804000000.0,서울특별시 강남구 테헤란로104길,8,,1.16801e+24,,서울특별시 강남구 테헤란로104길 8,135280,6174.0,,1.0,,127.0647899,37.50858536
20264296,이디야커피,창신점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11110,종로구,1111067000,창신1동,1111017400,창신동,1.11102e+18,1,대지,366,,서울특별시 종로구 창신동 366,111103000000.0,서울특별시 종로구 종로,316,1.0,1.11102e+24,,서울특별시 종로구 종로 316-1,110540,3121.0,,1.0,,127.01290800000001,37.57202045
20516853,이디야IBK고객센터,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11170,용산구,1117068500,한남동,1117013100,한남동,1.11701e+18,1,대지,707,18.0,서울특별시 용산구 한남동 707-18,111702000000.0,서울특별시 용산구 한남대로,72,,1.11701e+24,단국빌딩,서울특별시 용산구 한남대로 72,140894,4419.0,,1.0,1.0,127.0070365,37.53505538
20631193,이디야커피,외대점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11230,동대문구,1123074000,이문1동,1123011000,이문동,1.12301e+18,1,대지,305,59.0,서울특별시 동대문구 이문동 305-59,112303000000.0,서울특별시 동대문구 휘경로,12,,1.12301e+24,,서울특별시 동대문구 휘경로 12,130080,2441.0,,1.0,,127.06125290000001,37.59584196
22669473,이디야서대문점2호,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11410,서대문구,1141052000,천연동,1141010500,냉천동,1.14101e+18,1,대지,248,,서울특별시 서대문구 냉천동 248,114103000000.0,서울특별시 서대문구 통일로,141,,1.14101e+24,,서울특별시 서대문구 통일로 141,120050,3735.0,,2.0,,126.96521770000001,37.56691763
23812395,이디야커피,북창동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114052000,소공동,1114011400,태평로2가,1.11401e+18,1,대지,52,4.0,서울특별시 중구 태평로2가 52-4,111404000000.0,서울특별시 중구 남대문로1길,57,1.0,1.11401e+24,,서울특별시 중구 남대문로1길 57-1,100864,4526.0,,1.0,,126.9775557,37.56363722
25541559,이디야커피,가산에이스점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11545,금천구,1154551000,가산동,1154510100,가산동,1.15451e+18,1,대지,470,5.0,서울특별시 금천구 가산동 470-5,115453000000.0,서울특별시 금천구 가산디지털1로,196,,1.15451e+24,에이스테크노타워10차,서울특별시 금천구 가산디지털1로 196,153789,8502.0,,1.0,,126.88126969999999,37.4829589
23412756,이디야커피,해군회관점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11590,동작구,1159066000,대방동,1159010800,대방동,1.15901e+18,1,대지,385,24.0,서울특별시 동작구 대방동 385-24,115903000000.0,서울특별시 동작구 여의대방로,194,,1.15901e+24,,서울특별시 동작구 여의대방로 194,156810,6945.0,,1.0,,126.92224509999998,37.50425313
25579639,EDIYA커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11680,강남구,1168053100,논현2동,1168010800,논현동,1.16801e+18,1,대지,242,54.0,서울특별시 강남구 논현동 242-54,116803000000.0,서울특별시 강남구 선릉로,661,,1.16801e+24,세화빌딩,서울특별시 강남구 선릉로 661,135010,6099.0,,1.0,,127.0415697,37.51558063
20077904,이디야커피,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11140,중구,1114057000,필동,1114015800,충무로3가,1.11402e+18,1,대지,58,21.0,서울특별시 중구 충무로3가 58-21,111404000000.0,서울특별시 중구 퇴계로27길,31,,1.11402e+24,,서울특별시 중구 퇴계로27길 31,100013,4554.0,,1.0,,126.9912325,37.56255649
